Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre,hiphop,rap,pop,electronic,trap,indie,rnb,rock,dance,reggaeton,Label
Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,"pop,bts,disco,dynamite,k-pop,bts,kpop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
cardigan,Taylor Swift,0.613,0.581,0,-8.588,0,0.0424,0.537,0.00034500000000000004,0.25,0.551,130.033,239560,4,"folk,chamber+pop,folk+pop,indie,pop,country,female+vocalists",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"break up with your girlfriend, i'm bored",Ariana Grande,0.726,0.5539999999999999,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.99900000000002,190440,4,"pop,trap,rnb,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
Emotionless,Drake,0.413,0.6759999999999999,1,-5.124,1,0.213,0.0239,0.0,0.0811,0.0827,173.47799999999998,302173,4,"drake,canadian,rap,hip+hop,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
positions,Ariana Grande,0.736,0.802,0,-4.7589999999999995,1,0.0864,0.46799999999999997,0.0,0.094,0.675,144.005,172325,4,"pop,rnb,female+vocalists,ariana+grande,love+at+first+listen,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Elevate,Drake,0.755,0.47,1,-8.72,1,0.139,0.0153,0.0,0.11800000000000001,0.0604,76.056,184960,4,"rap,canadian,hip-hop,not+sure,drake,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
THE SCOTTS,THE SCOTTS,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,165978,4,"rap,the+scotts,hip-hop,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
The Box,Roddy Ricch,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.10400000000000001,0.0,0.79,0.642,116.971,196653,4,"hip-hop,2019,rap,trap,roddy+ricch,hip-hop,rap,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
the 1,Taylor Swift,0.777,0.35700000000000004,0,-6.942,1,0.0522,0.757,7.28e-06,0.10800000000000001,0.172,139.88299999999998,210252,4,"folk,indie,indie+pop,alternative,pop,country,female+vocalists",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Circles,Post Malone,0.7040000000000001,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.00299999999999,214907,4,"pop,indie+pop,post+malone,pop+rock,hip-hop,rap,trap",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
bad guy,Billie Eilish,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,194088,4,"electropop,pop,dance-pop,pop,indie+pop,electropop",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
Don’t Matter To Me,Drake,0.825,0.317,10,-12.39,1,0.0583,0.49700000000000005,0.0128,0.11,0.136,103.001,245787,4,"michael+jackson,rap,rnb,drake,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
WAP (feat. Megan Thee Stallion),Cardi B,0.935,0.45399999999999996,1,-7.5089999999999995,1,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,187541,4,"megan+thee+stallion,cardi+b,rap,best+of+2020,hip-hop,rap,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
No Time To Die,Billie Eilish,0.38,0.21899999999999997,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.53699999999999,242265,4,"james+bond,2020,billie+eilish,pop,pop,indie+pop,electropop",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
rockstar,Post Malone,0.5770000000000001,0.522,5,-6.593999999999999,0,0.0984,0.13,9.03e-05,0.142,0.11900000000000001,159.77200000000002,218320,4,"rap,trap,hip-hop,2017,hip-hop,rap,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
STARGAZING,Travis Scott,0.48700000000000004,0.789,8,-3.69,1,0.044000000000000004,0.009470000000000001,4.05e-06,0.18899999999999997,0.0564,150.007,270715,4,"psychedelic,rap,hip+hop,hip-hop,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Santa Tell Me,Ariana Grande,0.46399999999999997,0.63,7,-7.337000000000001,1,0.182,0.0464,0.0,0.295,0.527,132.96,204093,5,"pop,christmas,love+at+first+listen,hino,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
8 Out Of 10,Drake,0.534,0.684,11,-7.874,0,0.7170000000000001,0.16399999999999998,0.0,0.499,0.33799999999999997,170.416,195720,4,"rap,canadian,hip-hop,decent,drake,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
exile (feat. Bon Iver),Taylor Swift,0.298,0.38,6,-8.426,1,0.0287,0.778,5.6200000000000004e-05,0.11,0.152,75.602,285634,4,"folk,alternative,pop,country,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Moonlight,XXXTENTACION,0.9209999999999999,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,"hip-hop,rap,emo,hip+hop,hip-hop,cloud+rap,rap",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
It's Beginning to Look a Lot like Christmas,Michael Bublé,0.33899999999999997,0.214,4,-11.714,1,0.0375,0.9079999999999999,7.47e-06,0.341,0.363,94.775,206640,3,"christmas,jazz,swing,christmas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Rain On Me (with Ariana Grande),Lady Gaga,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,182200,4,"lady+gaga,ariana+grande,pop,2020,pop,dance,electronic",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
everything i wanted,Billie Eilish,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,"pop,indie+pop,billie+eilish,2010s,pop,indie+pop,electropop",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
MIA (feat. Drake),Bad Bunny,0.8170000000000001,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.06200000000001,210368,4,"reggaeton,rap,latin+trap,ovo,latin,reggaeton,trap",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
Stuck with U (with Justin Bieber),Ariana Grande,0.597,0.45,8,-6.6579999999999995,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3,"ariana+grande,justin+bieber,pop,rnb,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
HUMBLE.,Kendrick Lamar,0.9079999999999999,0.621,1,-6.638,0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,177000,4,"rap,hip-hop,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Toosie Slide,Drake,0.8340000000000001,0.45399999999999996,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.8370000000000001,81.618,247059,4,"drake,rap,hip+hop,trash,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SICKO MODE,Travis Scott,0.8340000000000001,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.00799999999998,312820,4,"rap,hip+hop,hip-hop,american",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Psycho (feat. Ty Dolla $ign),Post Malone,0.748,0.546,8,-8.134,1,0.106,0.59,0.0,0.11199999999999999,0.413,140.005,220880,4,"post+malone,pop,hip-hop,rap,hip-hop,rap,trap",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
I'm Upset,Drake,0.899,0.5920000000000001,11,-7.901,0,0.33299999999999996,0.263,0.0,0.0831,0.504,149.953,214139,4,"rap,hip+hop,hip-hop,canadian,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Call Out My Name,The Weeknd,0.489,0.598,1,-4.928999999999999,1,0.036000000000000004,0.218,0.0,0.35,0.172,134.045,228373,3,"rnb,soul,canadian,rnb,electronic,canadian",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Jingle Bell Rock,Anita Kerr Singers,0.741,0.326,2,-12.045,1,0.0395,0.9179999999999999,0.0,0.0658,0.7509999999999999,120.992,130267,4,"bobby+helms,easy+listening,all,not+streamable",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Nice For What,Drake,0.5670000000000001,0.9129999999999999,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926,4,"rap,hip-hop,hip+hop,bounce,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Tusa,KAROL G,0.8029999999999999,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4,"nicki+minaj,pop,latin+pop,rap,karol+g,latin,reggaeton,latin+pop",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Hawái,Maluma,0.787,0.728,6,-3.455,0,0.389,0.18899999999999997,2.2899999999999998e-05,0.0629,0.545,180.06599999999997,200198,4,"reggaeton,latin,pop,colombia,reggaeton,latin,pop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Mood (feat. iann dior),24kGoldn,0.7,0.722,7,-3.5580000000000003,0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.98899999999999,140526,4,"hip-hop,rap,electronic,trap,hip-hop,rap,electronic",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Paranoid,Post Malone,0.625,0.536,0,-5.428,1,0.0776,0.038,2.3100000000000002e-05,0.16699999999999998,0.253,159.914,221787,4,"hip-hop,rap,trap,post+malone,cloud+rap,hip-hop,rap,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.8420000000000001,0.8009999999999999,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4,"dance,selena+gomez,cardi+b,ozuna,edm,trap,electronic,dance",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Sour Candy (with BLACKPINK),Lady Gaga,0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,157707,4,"blackpink,pop,lady+gaga,pop,dance,electronic",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Saint-Tropez,Post Malone,0.617,0.684,0,-3.6180000000000003,1,0.0439,0.0545,0.0,0.10400000000000001,0.295,132.113,150867,4,"post+malone,synthpop,hip-hop,2010s,hip-hop,rap,trap",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Talk Up,Drake,0.759,0.479,11,-10.65,1,0.18600000000000003,0.0039,5.3e-06,0.302,0.34700000000000003,140.089,195813,4,"hip-hop,rap,jay+z,jay-z,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
changes,XXXTENTACION,0.6940000000000001,0.319,11,-10.061,1,0.0303,0.883,0.0,0.095,0.493,129.797,121969,4,"hip-hop,rap,emo,post-nerdcore,hip-hop,cloud+rap,rap",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Don't Start Now,Dua Lipa,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,"disco,pop,pop,synthpop,british",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Better Now,Post Malone,0.68,0.578,10,-5.803999999999999,1,0.04,0.331,0.0,0.135,0.341,145.03799999999998,231267,4,"post+malone,rap,trap,rnb,cloud+rap,hip-hop,rap,trap",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
Rockin' Around The Christmas Tree,Miley Cyrus,0.603,0.713,10,-7.579,0,0.0351,0.0409,0.0,0.27,0.7959999999999999,141.985,116547,4,"christmas,pop,female+vocalists,dance",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,197867,4,"pop,khalid,2019,2010s,ed+sheeran,acoustic,british,singer-songwriter",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
It's the Most Wonderful Time of the Year,Andy Williams,0.24,0.598,7,-8.435,1,0.0369,0.7659999999999999,0.0,0.11699999999999999,0.7759999999999999,201.62900000000002,151933,3,"christmas,christmas+music,oldies,60s,easy+listening",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mob Ties,Drake,0.755,0.575,4,-8.392000000000001,0,0.0673,0.0443,0.0012699999999999999,0.276,0.493,85.994,205147,4,"rap,canadian,hip-hop,decent,drake,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
I'm the One,DJ Khaled,0.599,0.667,7,-4.2669999999999995,1,0.0367,0.0533,0.0,0.134,0.8170000000000001,80.984,288877,4,"hip-hop,lil+wayne,pleasant,chance+the+rapper,justin+bieber,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
After Hours,The Weeknd,0.6629999999999999,0.5670000000000001,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,361947,4,"rnb,the+weeknd,pop,dark+pop,rnb,electronic,canadian",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Heartless,The Weeknd,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.11699999999999999,0.198,169.954,200080,4,"the+weeknd,rnb,avant-garde,rnb,electronic,canadian",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
the last great american dynasty,Taylor Swift,0.6859999999999999,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4,"folk,indie,alternative,indie+pop,pop,country,female+vocalists",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Godzilla (feat. Juice WRLD),Eminem,0.8079999999999999,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.8290000000000001,165.995,210800,4,"rap,eminem,2020,juice+wrld,2020s,rap,hip-hop,eminem",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ROCKSTAR (feat. Roddy Ricch),DaBaby,0.746,0.69,11,-7.956,1,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,89.977,181733,4,"dababy,rap,hip-hop,roddy+ricch,hip-hop,rap,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,0.643,0.721,1,-5.247999999999999,1,0.0449,0.00268,6.51e-06,0.0898,0.317,102.914,190107,4,"soundtrack,miley+cyrus,lana+del+rey,2019,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,0.32799999999999996,0.607,2,-11.075999999999999,1,0.0315,0.318,0.0,0.765,0.395,146.537,213880,3,"classic+rock,rock,singer-songwriter,british,pop,classic+rock,rock,singer-songwriter",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Intentions (feat. Quavo),Justin Bieber,0.8059999999999999,0.546,9,-6.6370000000000005,1,0.0575,0.3,0.0,0.102,0.8740000000000001,147.986,212867,4,"pop,rnb,alternative+rnb,2020,pop,rnb,justin+bieber",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
KOD,J. Cole,0.823,0.7829999999999999,0,-6.274,1,0.154,0.21,0.0,0.113,0.19899999999999998,141.882,191437,4,"hip-hop,rap,hip+hop,trap,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
needy,Ariana Grande,0.647,0.309,7,-7.9479999999999995,0,0.0366,0.78,7.41e-06,0.20199999999999999,0.195,87.045,171573,4,"rnb,pop,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Life Is Good (feat. Drake),Future,0.6759999999999999,0.609,2,-5.831,0,0.48100000000000004,0.0706,0.0,0.152,0.508,142.037,237735,4,"drake,future,2020s,2020,hip-hop,rap,trap",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,0.856,0.6940000000000001,2,-4.393,1,0.16899999999999998,0.371,0.0,0.109,0.489,122.08,324189,4,"kendrick+lamar,rap,hip+hop,lil+wayne",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
This Is America,Childish Gambino,0.8540000000000001,0.46299999999999997,5,-6.159,1,0.13699999999999998,0.11699999999999999,0.0,0.354,0.5489999999999999,120.024,225773,4,"rap,hip+hop,hip-hop,trap,hip-hop,rap,hip+hop",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
my tears ricochet,Taylor Swift,0.456,0.263,0,-10.63,1,0.0332,0.8059999999999999,0.0,0.0749,0.111,129.86,255894,4,"folk,indie,pop,indie+pop,pop,country,female+vocalists",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Yummy,Justin Bieber,0.687,0.514,9,-6.612,0,0.0897,0.366,0.0,0.11599999999999999,0.494,145.921,210427,4,"2020,pop,rnb,hip-hop,pop,rnb,justin+bieber",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Castle on the Hill,Ed Sheeran,0.461,0.8340000000000001,2,-4.868,1,0.0989,0.0232,1.1400000000000001e-05,0.14,0.47100000000000003,135.007,261154,4,"pop,best+of+2017,rock,pop+rock,british,acoustic,british,singer-songwriter",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
